key,value,date
Health,7632,08/01/20
Health,6722,09/01/20
Health,5076,10/01/20
Health,5049,11/01/20
Health,3538,12/01/20
Health,3266,01/01/21
Health,2738,02/01/21
Health,2549,03/01/21
Health,2328,04/01/21
Health,2158,05/01/21
Health,1896,06/01/21
Health,2673,07/01/21
Health,1915,08/01/21
Health,1671,09/01/21
Health,98,10/01/21
Business,407,08/01/15
Business,597,09/01/15
Business,664,10/01/15
Business,559,11/01/15
Business,830,12/01/15
Business,829,01/01/16
Business,1236,02/01/16
Business,1068,03/01/16
Business,754,04/01/16
Business,794,05/01/16
Business,998,06/01/16
Business,477,07/01/16
Business,857,08/01/16
Business,918,09/01/16
Business,1245,10/01/16
Business,1098,11/01/16
Business,913,12/01/16
Business,1016,01/01/17
Business,875,02/01/17
Business,998,03/01/17
Business,945,04/01/17
Business,1240,05/01/17
Business,1521,06/01/17
Business,1523,07/01/17
Business,1592,08/01/17
Business,1487,09/01/17
Business,1276,10/01/17
Business,1164,11/01/17
Business,981,12/01/17
Business,1160,01/01/18
Business,1127,02/01/18
Business,1225,03/01/18
Business,1115,04/01/18
Business,1079,05/01/18
Business,1050,06/01/18
Business,860,07/01/18
Business,1061,08/01/18
Business,1035,09/01/18
Business,1176,10/01/18
Business,1059,11/01/18
Business,991,12/01/18
Business,1208,01/01/19
Business,1456,02/01/19
Business,2005,03/01/19
Business,1511,04/01/19
Business,1663,05/01/19
Business,1624,06/01/19
Business,1937,07/01/19
Business,1920,08/01/19
Business,1921,09/01/19
Business,1822,10/01/19
Business,1774,11/01/19
Business,1752,12/01/19
Business,1779,01/01/20
Business,1742,02/01/20
Business,2750,03/01/20
Business,10038,04/01/20
Business,15160,05/01/20
Business,12631,06/01/20
Business,12102,07/01/20
Business,9835,08/01/20
Business,8768,09/01/20
Business,7019,10/01/20
Business,6248,11/01/20
Business,4926,12/01/20
Business,4114,01/01/21
Business,3682,02/01/21
Business,3931,03/01/21
Business,4268,04/01/21
Business,3930,05/01/21
Business,3250,06/01/21
Business,3558,07/01/21
Business,3632,08/01/21
Business,3477,09/01/21
Business,209,10/01/21
Art and Humanity,242,08/01/15
Art and Humanity,319,09/01/15
Art and Humanity,428,10/01/15
Art and Humanity,476,11/01/15
Art and Humanity,416,12/01/15
Art and Humanity,530,01/01/16
Art and Humanity,586,02/01/16
Art and Humanity,786,03/01/16
Art and Humanity,508,04/01/16
Art and Humanity,421,05/01/16
Art and Humanity,554,06/01/16
Art and Humanity,267,07/01/16
Art and Humanity,489,08/01/16
Art and Humanity,505,09/01/16
Art and Humanity,534,10/01/16
Art and Humanity,563,11/01/16
Art and Humanity,498,12/01/16
Art and Humanity,547,01/01/17
Art and Humanity,461,02/01/17
Art and Humanity,475,03/01/17
Art and Humanity,407,04/01/17
Art and Humanity,557,05/01/17
Art and Humanity,691,06/01/17
